source,target,binding
P000,P002,0.7206789607753931
P001,P010,0.6543902307237097
P001,P013,0.4360499838308712
P001,P018,0.7364024079157692
P002,P013,0.31099372891142685
P002,P015,0.15608680712471823
P003,P005,0.519171162702648
P003,P009,0.6713213015140155
P003,P014,0.7210167912251596
P004,P010,0.3871457288081953
P004,P012,0.30807614531118543
P004,P014,0.539621467800887
P004,P018,0.744940992387202
P004,P019,0.4659659213434664
P005,P018,0.42782611862393227
P006,P012,0.16555928703147915
P006,P016,0.6197366641652732
P006,P017,0.5139363779778903
P007,P010,0.9718588573551108
P007,P016,0.5218541897295278
P008,P012,0.43006741166022316
P008,P015,0.3633137703925969
P009,P011,0.6490182045495567
P009,P017,0.7281860378933549
P010,P013,0.6909702392321871
P010,P017,0.5511244928854943
P010,P018,0.45126148106692393
P011,P015,0.5821977546345941
P012,P016,0.871978067769231
P013,P017,0.6780332364270699
P013,P019,0.2323262136503026
P014,P018,0.7735458325760306
P014,P019,0.7133647218765826
